index_y,day,dteday_x,weathersit,temp_celsius,windspeed_kh,atemp,hum,dteday_y,season,yr,mnth,holiday,weekday,workingday,casual,registered,cnt
54,55,24/02/2011,2,12.121732,16.783232,0.289191,69.7391,24/02/2011,1,0,2,0,4,1,100,1707,1807
55,56,25/02/2011,2,14.938268,23.218113,0.350461,71.2174,25/02/2011,1,0,2,0,5,1,120,1341,1461
56,57,26/02/2011,1,11.5825,12.500257,0.282192,53.7917,26/02/2011,1,0,2,0,6,0,424,1545,1969
57,58,27/02/2011,1,14.082598,8.391616,0.351109,68.0,27/02/2011,1,0,2,0,0,0,694,1708,2402
58,59,28/02/2011,2,16.698193,19.408962,0.400118,87.6364,28/02/2011,1,0,2,0,1,1,81,1365,1446
59,60,01/03/2011,1,10.933347,14.500475,0.263879,53.5,01/03/2011,1,0,3,0,2,1,137,1714,1851
60,61,02/03/2011,1,13.735,20.624811,0.320071,44.9583,02/03/2011,1,0,3,0,3,1,231,1903,2134
61,62,03/03/2011,1,8.131653,15.125518,0.200133,31.8333,03/03/2011,1,0,3,0,4,1,123,1562,1685
62,63,04/03/2011,2,10.728347,13.624182,0.255679,61.0417,04/03/2011,1,0,3,0,5,1,214,1730,1944
63,64,05/03/2011,2,15.750847,16.875357,0.378779,78.9167,05/03/2011,1,0,3,0,6,0,640,1437,2077
64,65,06/03/2011,2,15.437402,23.000229,0.366252,94.8261,06/03/2011,1,0,3,0,0,0,114,491,605
65,66,07/03/2011,1,10.731299,22.870584,0.238461,55.1304,07/03/2011,1,0,3,0,1,1,244,1628,1872
66,67,08/03/2011,1,11.9925,8.08355,0.3024,42.0833,08/03/2011,1,0,3,0,2,1,316,1817,2133
67,68,09/03/2011,2,12.129153,14.75005,0.286608,77.5417,09/03/2011,1,0,3,0,3,1,191,1700,1891
68,69,10/03/2011,3,15.952731,17.545759,0.385668,0.0,10/03/2011,1,0,3,0,4,1,46,577,623
69,70,11/03/2011,2,12.977402,15.60899,0.305,64.9565,11/03/2011,1,0,3,0,5,1,247,1730,1977
70,71,12/03/2011,1,13.495847,14.791925,0.32575,59.4583,12/03/2011,1,0,3,0,6,0,724,1408,2132
71,72,13/03/2011,1,15.758268,18.130468,0.380091,52.7391,13/03/2011,1,0,3,0,0,0,982,1435,2417
72,73,14/03/2011,1,13.333897,9.174042,0.332,49.6957,14/03/2011,1,0,3,0,1,1,359,1687,2046
73,74,15/03/2011,2,13.013031,12.348703,0.318178,65.5652,15/03/2011,1,0,3,0,2,1,289,1767,2056
74,75,16/03/2011,2,14.973897,13.608839,0.36693,77.6522,16/03/2011,1,0,3,0,3,1,321,1871,2192
75,76,17/03/2011,1,17.015,14.041793,0.410333,60.2917,17/03/2011,1,0,3,0,4,1,424,2320,2744
76,77,18/03/2011,1,22.14,15.478139,0.527009,52.5217,18/03/2011,1,0,3,0,5,1,884,2355,3239
77,78,19/03/2011,1,19.3725,24.667189,0.466525,37.9167,19/03/2011,1,0,3,0,6,0,1424,1693,3117
78,79,20/03/2011,1,13.6325,13.917307,0.32575,47.375,20/03/2011,1,0,3,0,0,0,1047,1424,2471
79,80,21/03/2011,2,17.647835,19.348461,0.409735,73.7391,21/03/2011,2,0,3,0,1,1,401,1676,2077
80,81,22/03/2011,1,18.108347,15.12525,0.440642,62.4583,22/03/2011,2,0,3,0,2,1,460,2243,2703
81,82,23/03/2011,2,14.225237,15.695487,0.337939,83.9565,23/03/2011,2,0,3,0,3,1,203,1918,2121
82,83,24/03/2011,2,11.685,16.333729,0.270833,80.5833,24/03/2011,2,0,3,0,4,1,166,1699,1865
83,84,25/03/2011,1,10.830847,15.458575,0.256312,49.5,25/03/2011,2,0,3,0,5,1,300,1910,2210
84,85,26/03/2011,1,10.899153,14.041257,0.257571,39.4167,26/03/2011,2,0,3,0,6,0,981,1515,2496
85,86,27/03/2011,2,10.374763,12.3481,0.250339,49.3913,27/03/2011,2,0,3,0,0,0,472,1221,1693
86,87,28/03/2011,1,10.838268,14.217668,0.257574,30.2174,28/03/2011,2,0,3,0,1,1,222,1806,2028
87,88,29/03/2011,1,12.4025,15.208732,0.292908,31.4167,29/03/2011,2,0,3,0,2,1,317,2108,2425
88,89,30/03/2011,2,12.3,11.583496,0.29735,64.6667,30/03/2011,2,0,3,0,3,1,168,1368,1536
89,90,31/03/2011,3,11.001653,14.582282,0.257575,91.8333,31/03/2011,2,0,3,0,4,1,179,1506,1685
90,91,01/04/2011,2,12.3,17.333436,0.283454,68.625,01/04/2011,2,0,4,0,5,1,307,1920,2227
91,92,02/04/2011,2,12.915,13.208782,0.315637,65.375,02/04/2011,2,0,4,0,6,0,898,1354,2252
92,93,03/04/2011,1,15.511653,12.208271,0.378767,48.0,03/04/2011,2,0,4,0,0,0,1651,1598,3249
93,94,04/04/2011,1,23.506653,25.833257,0.542929,42.625,04/04/2011,2,0,4,0,1,1,734,2381,3115
94,95,05/04/2011,2,16.980847,26.000489,0.39835,64.2083,05/04/2011,2,0,4,0,2,1,167,1628,1795
95,96,06/04/2011,1,16.024153,17.625221,0.387608,47.0833,06/04/2011,2,0,4,0,3,1,413,2395,2808
96,97,07/04/2011,1,17.9375,10.874904,0.433696,60.2917,07/04/2011,2,0,4,0,4,1,571,2570,3141
97,98,08/04/2011,2,13.769153,15.208464,0.324479,83.625,08/04/2011,2,0,4,0,5,1,172,1299,1471
98,99,09/04/2011,2,14.0425,8.916561,0.341529,87.75,09/04/2011,2,0,4,0,6,0,879,1576,2455
99,100,10/04/2011,2,17.493347,9.833389,0.426737,85.75,10/04/2011,2,0,4,0,0,0,1188,1707,2895
100,101,11/04/2011,2,24.421732,21.739758,0.565217,71.6956,11/04/2011,2,0,4,0,1,1,855,2493,3348
101,102,12/04/2011,2,20.6025,18.416893,0.493054,73.9167,12/04/2011,2,0,4,0,2,1,257,1777,2034
102,103,13/04/2011,2,16.9125,16.791339,0.417283,81.9167,13/04/2011,2,0,4,0,3,1,209,1953,2162
103,104,14/04/2011,1,19.1675,7.4169,0.462742,54.0417,14/04/2011,2,0,4,0,4,1,529,2738,3267
104,105,15/04/2011,1,18.313347,15.167125,0.441913,67.125,15/04/2011,2,0,4,1,5,0,642,2484,3126
105,106,16/04/2011,3,17.664153,22.834136,0.425492,88.8333,16/04/2011,2,0,4,0,6,0,121,674,795
106,107,17/04/2011,1,18.723347,20.334232,0.445696,47.9583,17/04/2011,2,0,4,0,0,0,1558,2186,3744
107,108,18/04/2011,1,21.0125,10.958989,0.503146,54.25,18/04/2011,2,0,4,0,1,1,669,2760,3429
108,109,19/04/2011,2,20.739153,10.584057,0.489258,66.5833,19/04/2011,2,0,4,0,2,1,409,2795,3204
109,110,20/04/2011,1,24.395,16.208975,0.564392,61.4167,20/04/2011,2,0,4,0,3,1,613,3331,3944
110,111,21/04/2011,1,18.825847,21.792286,0.453892,40.7083,21/04/2011,2,0,4,0,4,1,745,3444,4189
111,112,22/04/2011,2,13.803347,14.707907,0.321954,72.9583,22/04/2011,2,0,4,0,5,1,177,1506,1683
112,113,23/04/2011,2,18.86,15.458575,0.450121,88.7917,23/04/2011,2,0,4,0,6,0,1462,2574,4036
113,114,24/04/2011,2,23.848347,12.875725,0.551763,81.0833,24/04/2011,2,0,4,0,0,0,1710,2481,4191
114,115,25/04/2011,1,24.873347,12.417311,0.5745,77.6667,25/04/2011,2,0,4,0,1,1,773,3300,4073
115,116,26/04/2011,1,25.898347,21.8755,0.594083,72.9167,26/04/2011,2,0,4,0,2,1,678,3722,4400
116,117,27/04/2011,2,25.42,20.9174,0.575142,83.5417,27/04/2011,2,0,4,0,3,1,547,3325,3872
117,118,28/04/2011,2,25.3175,21.500836,0.578929,70.0833,28/04/2011,2,0,4,0,4,1,569,3489,4058
118,119,29/04/2011,1,20.91,16.084221,0.497463,45.7083,29/04/2011,2,0,4,0,5,1,878,3717,4595
119,120,30/04/2011,1,19.3725,15.750025,0.464021,50.3333,30/04/2011,2,0,4,0,6,0,1965,3347,5312
120,121,01/05/2011,2,18.518347,7.125718,0.448204,76.2083,01/05/2011,2,0,5,0,0,0,1138,2213,3351
121,122,02/05/2011,2,22.515847,12.291418,0.532833,73.0,02/05/2011,2,0,5,0,1,1,847,3554,4401
122,123,03/05/2011,2,25.283347,22.958689,0.582079,69.7083,03/05/2011,2,0,5,0,2,1,603,3848,4451
123,124,04/05/2011,2,16.980847,22.042732,0.40465,73.7083,04/05/2011,2,0,5,0,3,1,255,2378,2633
124,125,05/05/2011,1,18.825847,19.791264,0.441917,44.4167,05/05/2011,2,0,5,0,4,1,614,3819,4433
125,126,06/05/2011,1,19.645847,15.292482,0.474117,59.0,06/05/2011,2,0,5,0,5,1,894,3714,4608
126,127,07/05/2011,1,21.32,10.75015,0.512621,54.125,07/05/2011,2,0,5,0,6,0,1612,3102,4714
127,128,08/05/2011,1,21.661653,5.0007125,0.518933,63.1667,08/05/2011,2,0,5,0,0,0,1401,2932,4333
128,129,09/05/2011,1,21.8325,11.792,0.525246,58.875,09/05/2011,2,0,5,0,1,1,664,3698,4362
129,130,10/05/2011,1,21.8325,7.749957,0.522721,48.9167,10/05/2011,2,0,5,0,2,1,694,4109,4803
130,131,11/05/2011,1,22.2425,8.083014,0.5284,63.2917,11/05/2011,2,0,5,0,3,1,550,3632,4182
131,132,12/05/2011,1,21.935,12.707689,0.523363,74.75,12/05/2011,2,0,5,0,4,1,695,4169,4864
132,133,13/05/2011,2,21.0125,12.041575,0.4943,86.3333,13/05/2011,2,0,5,0,5,1,692,3413,4105
133,134,14/05/2011,2,21.354153,9.04165,0.500629,92.25,14/05/2011,2,0,5,0,6,0,902,2507,3409
134,135,15/05/2011,2,23.0625,10.249593,0.536,86.7083,15/05/2011,2,0,5,0,0,0,1582,2971,4553
135,136,16/05/2011,1,23.6775,8.500357,0.550512,78.7917,16/05/2011,2,0,5,0,1,1,773,3185,3958
136,137,17/05/2011,2,23.028347,18.582718,0.538529,83.7917,17/05/2011,2,0,5,0,2,1,678,3445,4123
137,138,18/05/2011,2,22.55,13.499964,0.527158,87.0,18/05/2011,2,0,5,0,3,1,536,3319,3855
138,139,19/05/2011,2,21.764153,7.250271,0.510742,82.9583,19/05/2011,2,0,5,0,4,1,735,3840,4575
139,140,20/05/2011,1,22.003347,8.375871,0.529042,71.9583,20/05/2011,2,0,5,0,5,1,909,4008,4917
140,141,21/05/2011,1,24.7025,8.08355,0.571975,62.6667,21/05/2011,2,0,5,0,6,0,2258,3547,5805
141,142,22/05/2011,1,24.770847,9.916536,0.5745,74.9583,22/05/2011,2,0,5,0,0,0,1576,3084,4660
142,143,23/05/2011,2,25.898347,15.667414,0.590296,81.0,23/05/2011,2,0,5,0,1,1,836,3438,4274
143,144,24/05/2011,2,27.06,13.875164,0.604813,74.0833,24/05/2011,2,0,5,0,2,1,659,3833,4492
144,145,25/05/2011,1,27.094153,10.333611,0.615542,69.625,25/05/2011,2,0,5,0,3,1,740,4238,4978
145,146,26/05/2011,1,29.041653,13.376014,0.654688,67.75,26/05/2011,2,0,5,0,4,1,758,3919,4677
146,147,27/05/2011,1,27.948347,16.125493,0.637008,65.375,27/05/2011,2,0,5,0,5,1,871,3808,4679
147,148,28/05/2011,1,26.889153,15.416164,0.612379,72.9583,28/05/2011,2,0,5,0,6,0,2001,2757,4758
148,149,29/05/2011,1,27.3675,14.333846,0.61555,81.875,29/05/2011,2,0,5,0,0,0,2355,2433,4788
149,150,30/05/2011,1,30.066653,8.792075,0.671092,68.5,30/05/2011,2,0,5,1,1,0,1549,2549,4098
150,151,31/05/2011,1,31.775,7.459043,0.725383,63.6667,31/05/2011,2,0,5,0,2,1,673,3309,3982
151,152,01/06/2011,2,31.330847,13.875164,0.720967,67.7083,01/06/2011,2,0,6,0,3,1,513,3461,3974
152,153,02/06/2011,1,29.315,19.583229,0.643942,30.5,02/06/2011,2,0,6,0,4,1,736,4232,4968
153,154,03/06/2011,1,25.42,16.959107,0.587133,35.4167,03/06/2011,2,0,6,0,5,1,898,4414,5312
154,155,04/06/2011,1,26.035,8.250514,0.594696,45.625,04/06/2011,2,0,6,0,6,0,1869,3473,5342
155,156,05/06/2011,2,26.581653,9.292364,0.616804,65.25,05/06/2011,2,0,6,0,0,0,1685,3221,4906
156,157,06/06/2011,1,27.811653,8.167032,0.621858,60.0,06/06/2011,2,0,6,0,1,1,673,3875,4548
157,158,07/06/2011,1,29.0075,12.583136,0.65595,59.7917,07/06/2011,2,0,6,0,2,1,763,4070,4833
158,159,08/06/2011,1,31.809153,9.166739,0.727279,62.2083,08/06/2011,2,0,6,0,3,1,676,3725,4401
159,160,09/06/2011,2,33.141653,10.042161,0.757579,56.8333,09/06/2011,2,0,6,0,4,1,563,3352,3915
160,161,10/06/2011,1,30.955,9.417118,0.703292,60.5,10/06/2011,2,0,6,0,5,1,815,3771,4586
161,162,11/06/2011,1,29.725,10.37495,0.678038,65.4583,11/06/2011,2,0,6,0,6,0,1729,3237,4966
162,163,12/06/2011,1,28.3925,10.958989,0.643325,74.7917,12/06/2011,2,0,6,0,0,0,1467,2993,4460
163,164,13/06/2011,1,26.035,20.45845,0.601654,49.4583,13/06/2011,2,0,6,0,1,1,863,4157,5020
164,165,14/06/2011,1,24.770847,18.041961,0.591546,50.7083,14/06/2011,2,0,6,0,2,1,727,4164,4891
165,166,15/06/2011,1,25.693347,11.250104,0.587754,47.1667,15/06/2011,2,0,6,0,3,1,769,4411,5180
166,167,16/06/2011,2,25.761653,13.833557,0.595346,68.8333,16/06/2011,2,0,6,0,4,1,545,3222,3767
167,168,17/06/2011,1,26.615847,9.582943,0.600383,73.5833,17/06/2011,2,0,6,0,5,1,863,3981,4844
168,169,18/06/2011,1,28.563347,8.000336,0.643954,67.0417,18/06/2011,2,0,6,0,6,0,1807,3312,5119
169,170,19/06/2011,2,28.665847,6.834,0.645846,66.6667,19/06/2011,2,0,6,0,0,0,1639,3105,4744
170,171,20/06/2011,2,26.035,10.416825,0.595346,74.625,20/06/2011,2,0,6,0,1,1,699,3311,4010
171,172,21/06/2011,2,27.914153,11.458675,0.637646,77.0417,21/06/2011,3,0,6,0,2,1,774,4061,4835
172,173,22/06/2011,1,30.066653,11.541554,0.693829,70.75,22/06/2011,3,0,6,0,3,1,661,3846,4507
173,174,23/06/2011,2,29.861653,15.999868,0.693833,70.3333,23/06/2011,3,0,6,0,4,1,746,4044,4790
174,175,24/06/2011,1,29.690847,14.875675,0.656583,57.3333,24/06/2011,3,0,6,0,5,1,969,4022,4991
175,176,25/06/2011,1,28.495,14.041257,0.643313,48.3333,25/06/2011,3,0,6,0,6,0,1782,3420,5202
176,177,26/06/2011,1,27.88,6.3337311,0.637629,51.3333,26/06/2011,3,0,6,0,0,0,1920,3385,5305
177,178,27/06/2011,2,27.9825,7.208396,0.637004,65.8333,27/06/2011,3,0,6,0,1,1,854,3854,4708
178,179,28/06/2011,1,30.510847,9.666961,0.692558,63.4167,28/06/2011,3,0,6,0,2,1,732,3916,4648
179,180,29/06/2011,1,29.861653,17.542007,0.654688,49.7917,29/06/2011,3,0,6,0,3,1,848,4377,5225
180,181,30/06/2011,1,28.563347,12.415904,0.637008,43.4167,30/06/2011,3,0,6,0,4,1,1027,4488,5515
181,182,01/07/2011,1,29.6225,6.874736,0.652162,39.625,01/07/2011,3,0,7,0,5,1,1246,4116,5362
182,183,02/07/2011,1,30.271653,7.709154,0.667308,44.4583,02/07/2011,3,0,7,0,6,0,2204,2915,5119
183,184,03/07/2011,2,29.383347,15.333486,0.668575,68.25,03/07/2011,3,0,7,0,0,0,2282,2367,4649
184,185,04/07/2011,2,29.793347,5.4591064,0.665417,63.7917,04/07/2011,3,0,7,1,1,0,3065,2978,6043
185,186,05/07/2011,1,30.613347,8.459286,0.696338,59.0417,05/07/2011,3,0,7,0,2,1,1031,3634,4665
186,187,06/07/2011,1,29.52,10.042161,0.685633,74.3333,06/07/2011,3,0,7,0,3,1,784,3845,4629
187,188,07/07/2011,1,30.75,10.6664,0.686871,65.125,07/07/2011,3,0,7,0,4,1,754,3838,4592
188,189,08/07/2011,2,29.075847,15.083643,0.670483,75.7917,08/07/2011,3,0,7,0,5,1,692,3348,4040
189,190,09/07/2011,1,30.066653,11.250104,0.664158,60.9167,09/07/2011,3,0,7,0,6,0,1988,3348,5336
190,191,10/07/2011,1,30.6475,12.292557,0.690025,57.8333,10/07/2011,3,0,7,0,0,0,1743,3138,4881
191,192,11/07/2011,1,31.2625,18.916579,0.729804,63.5833,11/07/2011,3,0,7,0,1,1,723,3363,4086
192,193,12/07/2011,1,32.560847,13.417018,0.739275,55.9167,12/07/2011,3,0,7,0,2,1,662,3596,4258
193,194,13/07/2011,1,30.613347,9.790911,0.689404,63.1667,13/07/2011,3,0,7,0,3,1,748,3594,4342
194,195,14/07/2011,1,27.914153,16.124689,0.635104,47.625,14/07/2011,3,0,7,0,4,1,888,4196,5084
195,196,15/07/2011,1,27.196653,12.249811,0.624371,59.125,15/07/2011,3,0,7,0,5,1,1318,4220,5538
196,197,16/07/2011,1,28.153347,13.958914,0.638263,58.5,16/07/2011,3,0,7,0,6,0,2418,3505,5923
197,198,17/07/2011,1,29.485847,16.417211,0.669833,60.4167,17/07/2011,3,0,7,0,0,0,2006,3296,5302
198,199,18/07/2011,1,30.613347,14.458868,0.703925,65.125,18/07/2011,3,0,7,0,1,1,841,3617,4458
199,200,19/07/2011,1,31.843347,8.7502,0.747479,65.0417,19/07/2011,3,0,7,0,2,1,752,3789,4541
200,201,20/07/2011,1,31.501653,7.625739,0.74685,70.7083,20/07/2011,3,0,7,0,3,1,644,3688,4332
201,202,21/07/2011,2,33.415,14.875407,0.826371,69.125,21/07/2011,3,0,7,0,4,1,632,3152,3784
202,203,22/07/2011,1,34.781653,8.9177,0.840896,58.0417,22/07/2011,3,0,7,0,5,1,562,2825,3387
203,204,23/07/2011,1,34.815847,8.791807,0.804287,50.0,23/07/2011,3,0,7,0,6,0,987,2298,3285
204,205,24/07/2011,1,34.03,11.334457,0.794829,55.0833,24/07/2011,3,0,7,0,0,0,1050,2556,3606
205,206,25/07/2011,1,30.476653,6.0841561,0.720958,75.7083,25/07/2011,3,0,7,0,1,1,568,3272,3840
206,207,26/07/2011,1,31.638347,13.417286,0.696979,54.0833,26/07/2011,3,0,7,0,2,1,750,3840,4590
207,208,27/07/2011,1,31.775,12.292021,0.690667,40.2917,27/07/2011,3,0,7,0,3,1,755,3901,4656
208,209,28/07/2011,1,31.945847,11.958093,0.7399,58.3333,28/07/2011,3,0,7,0,4,1,606,3784,4390
209,210,29/07/2011,1,34.371653,11.667246,0.785967,54.25,29/07/2011,3,0,7,0,5,1,670,3176,3846
210,211,30/07/2011,1,32.970847,11.291979,0.728537,46.5833,30/07/2011,3,0,7,0,6,0,1559,2916,4475
211,212,31/07/2011,1,33.039153,11.042471,0.729796,48.0833,31/07/2011,3,0,7,0,0,0,1524,2778,4302
212,213,01/08/2011,1,31.638347,10.500039,0.703292,55.0833,01/08/2011,3,0,8,0,1,1,729,3537,4266
213,214,02/08/2011,1,32.116653,13.79195,0.707071,49.125,02/08/2011,3,0,8,0,2,1,801,4044,4845
214,215,03/08/2011,2,29.998347,9.084061,0.679937,65.75,03/08/2011,3,0,8,0,3,1,467,3107,3574
215,216,04/08/2011,2,29.11,13.20905,0.664788,75.75,04/08/2011,3,0,8,0,4,1,799,3777,4576
216,217,05/08/2011,1,29.144153,12.374632,0.656567,63.0833,05/08/2011,3,0,8,0,5,1,1023,3843,4866
217,218,06/08/2011,2,29.383347,15.29275,0.676154,75.5,06/08/2011,3,0,8,0,6,0,1521,2773,4294
218,219,07/08/2011,1,30.4425,13.499629,0.715292,75.2917,07/08/2011,3,0,8,0,0,0,1298,2487,3785
219,220,08/08/2011,1,31.365,12.875725,0.703283,59.2083,08/08/2011,3,0,8,0,1,1,846,3480,4326
220,221,09/08/2011,1,31.775,10.125107,0.724121,57.0417,09/08/2011,3,0,8,0,2,1,907,3695,4602
221,222,10/08/2011,1,31.433347,13.417286,0.684983,42.4167,10/08/2011,3,0,8,0,3,1,884,3896,4780
222,223,11/08/2011,1,29.4175,11.041332,0.651521,42.375,11/08/2011,3,0,8,0,4,1,812,3980,4792
223,224,12/08/2011,1,29.041653,8.416607,0.654042,41.5,12/08/2011,3,0,8,0,5,1,1051,3854,4905
224,225,13/08/2011,2,28.119153,14.167418,0.645858,72.9583,13/08/2011,3,0,8,0,6,0,1504,2646,4150
225,226,14/08/2011,2,27.743347,14.916411,0.624388,81.75,14/08/2011,3,0,8,0,0,0,1338,2482,3820
226,227,15/08/2011,1,27.299153,13.999918,0.616167,71.2083,15/08/2011,3,0,8,0,1,1,775,3563,4338
227,228,16/08/2011,1,28.734153,15.834043,0.645837,57.8333,16/08/2011,3,0,8,0,2,1,721,4004,4725
228,229,17/08/2011,1,29.656653,9.625689,0.666671,57.5417,17/08/2011,3,0,8,0,3,1,668,4026,4694
229,230,18/08/2011,1,29.178347,15.624936,0.662258,65.4583,18/08/2011,3,0,8,0,4,1,639,3166,3805
230,231,19/08/2011,2,28.085,9.333636,0.633221,72.2917,19/08/2011,3,0,8,0,5,1,797,3356,4153
231,232,20/08/2011,1,28.5975,6.999289,0.648996,67.4167,20/08/2011,3,0,8,0,6,0,1914,3277,5191
